Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Transcription Factors	P19838_blast_results.txt	P19838	Hit 162	QKU33696.1	hypothetical protein [Tupanvirus deep ocean]	1436	Tupanvirus deep ocean	6.40E-10	67	108	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Transcription Factors	P19838_blast_results.txt	P19838	Hit 792	QKU33943.1	ankyrin repeat-containing protein [Tupanvirus deep ocean]	756	Tupanvirus deep ocean	0.000285511	59	109	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Structural 	Q02388_blast_results.txt	Q02388	Hit 294	QKU33793.1	hypothetical protein [Tupanvirus deep ocean]	1510	Tupanvirus deep ocean	4.94E-108	544	692	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Structural 	Q02388_blast_results.txt	Q02388	Hit 1192	QKU34389.1	collagen alpha-1(XXVII) chain flags Precursor [Tupanvirus deep ocean]	1091	Tupanvirus deep ocean	6.33E-59	289	396	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Structural 	Q02388_blast_results.txt	Q02388	Hit 3932	QKU33425.1	hypothetical protein [Tupanvirus deep ocean]	761	Tupanvirus deep ocean	2.08E-33	224	277	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Cell Cycle Regulation Proteins	P06493_blast_results.txt	P06493	Hit 337	QKU33749.1	putative serine threonine-protein kinase [Tupanvirus deep ocean]	614	Tupanvirus deep ocean	5.70E-18	88	138	Genomic Viruses	2938951	Viruses	Uroviricota	Caudoviricetes	Strabovirales	Straboviridae	Schizotequatrovirus	Vibrio phage PVA8
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 6	YP_009449315.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	476	Orpheovirus IHUMI-LCC2	3.13E-47	112	157	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 7	SNW63013.1	Cyclin-dependent kinase [Orpheovirus IHUMI-LCC2]	476	Orpheovirus IHUMI-LCC2	3.13E-47	112	157	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 8	YP_009448911.1	Negative regulator of the PHO system [Orpheovirus IHUMI-LCC2]	288	Orpheovirus IHUMI-LCC2	5.64E-47	90	144	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 9	SNW62609.1	Negative regulator of the PHO system [Orpheovirus IHUMI-LCC2]	288	Orpheovirus IHUMI-LCC2	5.64E-47	90	144	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 10	YP_009448713.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	474	Orpheovirus IHUMI-LCC2	9.27E-46	99	157	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 11	SNW62411.1	Cell division control protein 2 related kinase [Orpheovirus IHUMI-LCC2]	474	Orpheovirus IHUMI-LCC2	9.27E-46	99	157	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 13	YP_009448822.1	Protein kinase [Orpheovirus IHUMI-LCC2]	299	Orpheovirus IHUMI-LCC2	3.39E-44	88	142	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 14	SNW62520.1	Protein kinase [Orpheovirus IHUMI-LCC2]	299	Orpheovirus IHUMI-LCC2	3.39E-44	88	142	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 16	YP_009448906.1	Negative regulator of the PHO system [Orpheovirus IHUMI-LCC2]	294	Orpheovirus IHUMI-LCC2	3.06E-42	93	140	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 17	SNW62604.1	Negative regulator of the PHO system [Orpheovirus IHUMI-LCC2]	294	Orpheovirus IHUMI-LCC2	3.06E-42	93	140	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 19	YP_009448511.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	640	Orpheovirus IHUMI-LCC2	1.13E-40	103	159	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 20	SNW62209.1	Protein kinase [Orpheovirus IHUMI-LCC2]	640	Orpheovirus IHUMI-LCC2	1.13E-40	103	159	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 21	YP_009448762.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	512	Orpheovirus IHUMI-LCC2	2.20E-40	96	152	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 22	SNW62460.1	Cyclin-dependent kinase [Orpheovirus IHUMI-LCC2]	512	Orpheovirus IHUMI-LCC2	2.20E-40	96	152	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 30	YP_009448801.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	510	Orpheovirus IHUMI-LCC2	3.51E-38	95	151	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 31	SNW62499.1	Cyclin-dependent kinase [Orpheovirus IHUMI-LCC2]	510	Orpheovirus IHUMI-LCC2	3.51E-38	95	151	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 37	YP_009448722.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	513	Orpheovirus IHUMI-LCC2	2.74E-36	97	147	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 38	SNW62420.1	Cyclin-dependent kinase [Orpheovirus IHUMI-LCC2]	513	Orpheovirus IHUMI-LCC2	2.74E-36	97	147	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 100	YP_009448289.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	537	Orpheovirus IHUMI-LCC2	8.87E-29	84	142	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 101	SNW61987.1	Serine/Threonine protein kinase [Orpheovirus IHUMI-LCC2]	537	Orpheovirus IHUMI-LCC2	8.87E-29	84	142	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 109	YP_009449117.1	Cyclin-dependent kinase [Orpheovirus IHUMI-LCC2]	439	Orpheovirus IHUMI-LCC2	1.55E-28	98	154	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 110	SNW62815.1	Cyclin-dependent kinase [Orpheovirus IHUMI-LCC2]	439	Orpheovirus IHUMI-LCC2	1.55E-28	98	154	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 167	YP_009449189.1	Serine/Threonine protein kinase [Orpheovirus IHUMI-LCC2]	529	Orpheovirus IHUMI-LCC2	2.29E-24	96	150	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 168	SNW62887.1	Serine/Threonine protein kinase [Orpheovirus IHUMI-LCC2]	529	Orpheovirus IHUMI-LCC2	2.29E-24	96	150	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 170	YP_009448508.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	522	Orpheovirus IHUMI-LCC2	2.60E-24	88	137	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 171	SNW62206.1	Serine/Threonine protein kinase [Orpheovirus IHUMI-LCC2]	522	Orpheovirus IHUMI-LCC2	2.60E-24	88	137	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 230	YP_009448533.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	523	Orpheovirus IHUMI-LCC2	5.12E-20	82	132	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 231	SNW62231.1	Protein kinase [Orpheovirus IHUMI-LCC2]	523	Orpheovirus IHUMI-LCC2	5.12E-20	82	132	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 260	YP_009448207.1	Serine/Threonine protein kinase [Orpheovirus IHUMI-LCC2]	510	Orpheovirus IHUMI-LCC2	5.66E-19	82	146	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 261	SNW61905.1	Serine/Threonine protein kinase [Orpheovirus IHUMI-LCC2]	510	Orpheovirus IHUMI-LCC2	5.66E-19	82	146	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 267	YP_009448510.1	serine-threonine kinase [Orpheovirus IHUMI-LCC2]	600	Orpheovirus IHUMI-LCC2	8.69E-19	63	98	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 268	SNW62208.1	Protein kinase [Orpheovirus IHUMI-LCC2]	600	Orpheovirus IHUMI-LCC2	8.69E-19	63	98	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Structural 	O43808_blast_results.txt	O43808	Hit 5	YP_009448992.1	Mitochondrial carrier domain-containing protein [Orpheovirus IHUMI-LCC2]	246	Orpheovirus IHUMI-LCC2	6.86E-11	46	85	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Structural 	O43808_blast_results.txt	O43808	Hit 6	SNW62690.1	Mitochondrial carrier domain-containing protein [Orpheovirus IHUMI-LCC2]	246	Orpheovirus IHUMI-LCC2	6.86E-11	46	85	Genomic Viruses	3068387	Viruses	Unspecified virus	Unspecified virus	Unspecified virus	Unspecified virus	Pandoravirus	Pandoravirus Pa1-4
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 12	QBK87314.1	MAG: cyclin-dependent protein kinase [Marseillevirus LCMAC201]	622	Marseillevirus LCMAC201	9.85E-45	114	168	Genomic Viruses	1560514	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Melbournevirus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 255	QBK87279.1	MAG: putative serine/threonine protein kinase [Marseillevirus LCMAC201]	382	Marseillevirus LCMAC201	3.67E-19	75	113	Genomic Viruses	1560514	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Melbournevirus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 282	QBK87202.1	MAG: ankyrin repeat protein [Marseillevirus LCMAC201]	515	Marseillevirus LCMAC201	6.45E-08	60	90	Genomic Viruses	1560514	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Melbournevirus
Transcription Factors	P19838_blast_results.txt	P19838	Hit 465	QBK87204.1	MAG: ankyrin repeat protein [Marseillevirus LCMAC201]	410	Marseillevirus LCMAC201	5.26E-06	63	105	Genomic Viruses	1560514	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Melbournevirus
Cell Cycle Regulation Proteins	Q00526_blast_results.txt	Q00526	Hit 297	QBK87117.1	MAG: putative serine/threonine protein kinase [Marseillevirus LCMAC201]	279	Marseillevirus LCMAC201	4.69E-18	70	122	Genomic Viruses	1560514	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Melbournevirus
Metabolic Hormones	Q15303_1_blast_results.xml	Q15303	Hit 376	gb|QBK87279.1|	MAG: putative serine/threonine protein kinase [Marseillevirus LCMAC201]	382	Marseillevirus LCMAC201	2.71E-14	64	105	Other	1560514	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Melbournevirus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 15	QBK90212.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC102]	748	Pithovirus LCPAC102	9.56E-43	108	162	Genomic Viruses	2928830	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Otagovirus	Pseudomonas phage Astolliot
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 178	QBK90143.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC102]	673	Pithovirus LCPAC102	8.71E-24	93	143	Genomic Viruses	2928830	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Otagovirus	Pseudomonas phage Astolliot
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 236	QBK90106.1	MAG: protein kinase [Pithovirus LCPAC102]	573	Pithovirus LCPAC102	6.48E-20	61	101	Genomic Viruses	2928830	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Otagovirus	Pseudomonas phage Astolliot
Structural 	Q02388_blast_results.txt	Q02388	Hit 3885	QBK90194.1	MAG: collagen triple helix repeat protein [Pithovirus LCPAC102]	888	Pithovirus LCPAC102	9.38E-34	163	195	Genomic Viruses	2928830	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Otagovirus	Pseudomonas phage Astolliot
Antiviral Proteins	P19525_blast_results.txt	P19525	Hit 350	QBK90259.1	MAG: putative serine/threonine protein kinase [Pithovirus LCPAC102]	297	Pithovirus LCPAC102	1.54E-11	48	81	Genomic Viruses	2928830	Viruses	Uroviricota	Caudoviricetes	Unspecified Caudoviricetes	Unspecified Caudoviricetes	Otagovirus	Pseudomonas phage Astolliot
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 18	UMM52799.1	protein ORF121 [Lake sturgeon herpesvirus]	283	Lake sturgeon herpesvirus	1.59E-41	91	160	Genomic Viruses	632798	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Lumpy skin disease virus
Cell Death and Survival Related	P25445_blast_results.txt	P25445	Hit 25	UMM52765.1	protein ORF87 [Lake sturgeon herpesvirus]	140	Lake sturgeon herpesvirus	0.00229104	28	44	Genomic Viruses	632798	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Capripoxvirus	Lumpy skin disease virus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 23	AYV87061.1	MAG: putative cyclin-dependent kinase A-1 [Sylvanvirus sp.]	419	Sylvanvirus sp.	5.75E-40	105	157	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 26	AYV87174.1	MAG: hypothetical protein Sylvanvirus31_5 [Sylvanvirus sp.]	407	Sylvanvirus sp.	2.68E-39	95	151	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 258	AYV86775.1	"MAG: CMGC/MAPK protein kinase, variant 1 [Sylvanvirus sp.]"	647	Sylvanvirus sp.	4.82E-19	53	88	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 273	AYV86827.1	MAG: CMGC/MAPK protein kinase [Sylvanvirus sp.]	590	Sylvanvirus sp.	9.43E-19	57	83	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
Cell Cycle Regulation Proteins	P24941_blast_results.txt	P24941	Hit 309	AYV86922.1	MAG: hypothetical protein Sylvanvirus14_7 [Sylvanvirus sp.]	310	Sylvanvirus sp.	4.83E-18	80	135	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
Cell Cycle Regulation Proteins	Q00526_blast_results.txt	Q00526	Hit 523	AYV86759.1	MAG: hypothetical protein Sylvanvirus8_15 [Sylvanvirus sp.]	439	Sylvanvirus sp.	4.91E-16	77	128	Genomic Viruses	1651169	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia virus
